and	010100000	1
sentence	0101011	1
ran	00101	1
is	0101000100	4
sentences	0101001	2
it	01010001010	2
one	00001	2
spaces	010101011	1
another	00000	1
in	010100001010000110	1
cares	01010000101001	1
chased	0101000010100000	2
two	010100010110	2
.	011	9
also	010100010111	1
only	0101000010101	1
program	01010000100	1
has	010100011	2
was	010100001011	1
park	010101000	1
here	001000	2
short	010101010	1
but	010100001010000111	1
with	0011	1
by	01010000101000010	1
a	0101000011	1
about	010100001010001	1
document	1	4
third	0001	1
this	001001	2
dog	01011	3
cat	010101001	2
the	0100	7
